ProteinName Control90Retina	Control90Vitreous	PDE6t15Retina	PDE6t15Vitreous	PDE6t28Retina	PDE6t28Vitreous	PDE6t90Retina	PDE6t90Vitreous
P24622-2	7838.7	574.3	356.3	4229.7	562.3	231.3	5092.3	7732.3
P04344	3145.9	7492.7	2811.3	1353.8	466.6	162.7	2693.1	5493.3
P23927	3008.0	365.7	108.0	1337.3	156.0	53.3	2104.0	3591.0
Q9QXC6	2329.8	677.8	402.9	1113.6	383.2	88.3	1586.1	3337.4
P62696	2188.7	1169.7	429.0	467.0	300.3	104.0	1371.0	1835.0
P04342	2138.0	4396.0	3234.5	1927.3	470.0	142.8	3242.1	3550.4
Q9WVJ5	1866.7	326.9	397.0	3824.0	452.3	68.9	1326.2	1893.8
Q9JJU9	1112.1	368.7	638.6	1068.2	417.1	39.6	1532.1	1238.2
O35486	1008.7	2724.3	442.0	414.3	160.7	45.0	1068.3	1579.3
P10854	900.6	0.3	1.7	442.5	552.4	12.7	303.3	3.0
Q9JJV1	728.3	473.3	166.3	329.3	96.0	30.7	354.3	844.0
E9QAS6	622.1	207.7	118.7	391.5	125.2	19.5	663.1	1106.9
Q9D6F9	550.4	2.0	32.0	838.1	518.4	2.0	171.7	321.1
P52480	547.7	7.3	5.3	219.0	221.7	23.0	121.3	499.7
P17182	463.9	51.0	89.6	927.2	305.2	4.9	134.1	436.7
Q3TFD9	450.7	53.3	49.9	131.2	181.5	19.3	199.9	48.4
P62806	392.5	1.0	0.0	320.4	357.8	4.3	57.2	1.3
P68368	356.5	4.9	63.6	1255.7	276.0	8.7	106.2	340.9
Q64522	318.7	16.5	27.5	350.6	380.0	24.3	60.5	7.3
P56480	275.3	2.7	11.0	114.0	39.0	0.3	31.7	0.0
Q6NVD9	269.6	0.0	6.3	151.4	38.3	0.3	196.8	35.0
Q05816	226.3	671.7	285.0	78.0	27.3	8.7	188.3	496.3
Q8BFZ3	221.0	16.8	33.7	112.0	124.4	20.4	112.0	140.4
P48962	195.3	0.0	0.0	141.3	86.0	0.0	39.3	0.7
A3KGU7	188.8	0.0	0.8	71.1	57.1	0.0	91.0	49.6
P20443	188.8	0.0	21.8	176.9	99.0	1.0	0.3	1.0
P17742	187.5	266.2	216.6	174.0	59.1	12.0	133.0	204.6
Q04447	187.5	16.3	16.0	175.3	165.0	6.0	158.7	216.7
P09411	181.1	88.2	33.0	120.2	83.6	0.7	87.6	158.4
Q62261	160.6	0.3	5.9	77.6	62.8	0.0	85.0	25.5
P04345	153.0	559.4	1026.3	786.9	142.4	10.0	178.8	296.0
P20612	147.0	3.0	1.3	45.4	48.8	0.7	5.3	0.0
P14602-2	143.2	8.6	0.3	33.0	9.6	1.0	55.4	132.3
P40142	138.0	0.7	1.3	82.7	80.0	0.0	63.3	122.7
P08249	133.7	0.0	0.0	38.3	50.7	0.0	6.0	0.0
Q68FD5	129.3	0.0	0.7	91.8	88.6	0.3	27.0	20.7
Q03265	128.5	0.0	0.0	79.4	96.7	1.0	17.0	0.0
Q3THB4	124.6	4.2	22.3	338.3	48.1	0.6	47.8	42.1
P06745	110.5	0.3	6.0	66.1	74.5	0.3	27.6	82.9
Q8CIX8	108.0	0.7	0.0	0.0	0.0	0.0	23.3	115.3
P10649	104.1	13.2	22.5	17.9	33.1	0.3	50.5	120.5
P62874	102.8	0.0	0.7	47.1	31.0	0.0	1.5	0.0
P62259	102.5	0.0	9.1	126.5	50.2	0.0	37.0	64.9
A2AMT1	91.5	0.3	4.7	129.4	20.3	0.0	36.3	11.6
P17751	90.0	58.7	37.0	70.3	86.0	6.3	22.3	86.0
P15105	86.7	0.3	0.0	29.3	45.8	0.0	17.9	85.1
P15409	74.3	0.0	1.0	50.0	16.7	0.0	0.0	0.0
O08553	72.8	0.0	0.0	82.9	65.0	1.3	44.7	60.7
Q9R0P5	70.7	22.3	16.0	3.7	7.3	1.0	47.7	48.0
Q78ZA7	70.3	0.0	0.3	67.2	7.7	0.0	19.8	50.8
P15864	70.3	0.0	0.0	174.8	133.1	0.0	4.6	0.0
Q60932-2	69.4	0.0	0.0	18.4	27.9	0.0	11.8	0.3
Q6PIC6	69.3	0.0	0.3	61.0	148.6	0.7	14.5	0.0
Q9DBJ1	68.3	41.0	20.0	189.3	59.7	0.0	22.0	52.3
P24549	68.0	0.3	1.0	51.7	38.7	0.0	18.0	68.7
P10126	65.8	0.0	14.9	90.8	55.0	6.7	36.2	59.6
P34884	64.0	51.7	21.0	42.7	10.0	3.0	31.3	45.0
Q8VHL5	62.7	2.0	15.3	86.3	16.7	0.0	49.7	40.3
P49194	62.3	0.0	0.0	20.9	28.7	0.0	0.0	0.0
P50396	61.7	7.6	17.4	25.3	32.4	0.0	56.9	58.8
P84228	61.0	10.0	10.3	94.0	42.7	1.0	15.3	4.3
P16858	60.4	4.3	0.3	73.1	52.6	2.7	37.0	63.2
P11499	59.9	0.8	7.0	116.7	50.3	0.3	24.5	49.0
Q61171	59.4	4.0	7.3	34.9	42.6	0.3	13.6	33.5
Q9CQI6	57.7	44.7	9.7	20.3	1.3	0.0	34.3	87.7
Q9ET01	56.9	0.0	0.0	20.2	17.6	0.0	13.5	33.7
Q01853	55.7	0.0	0.0	45.0	42.3	0.0	17.7	64.0
P05201	54.3	5.7	10.7	23.0	46.7	0.0	9.0	16.0
P02463	53.7	0.0	0.0	1.7	84.3	10.0	5.0	0.0
P17809	52.1	0.0	1.0	6.9	25.4	0.0	5.0	0.0
Q99LX0	48.5	24.4	16.2	93.6	7.9	2.7	16.0	42.4
Q9D1U0	41.7	9.7	10.0	9.0	3.3	2.0	31.0	23.7
P0C0S6	39.5	1.2	2.7	33.0	35.0	3.6	4.3	0.3
P17879	39.1	0.1	1.0	30.0	37.6	0.4	5.9	13.5
P56563	39.0	0.0	0.0	1.3	1.0	0.0	15.3	3.0
Q9DB20	38.9	0.0	0.0	15.2	53.1	0.0	0.7	0.0
P70296	38.8	90.0	70.2	24.9	29.5	0.0	11.0	82.8
P00920	38.0	35.0	40.3	24.7	49.0	1.0	13.7	60.3
Q9QZQ8-2	37.0	0.0	7.3	31.3	27.3	3.0	8.7	0.0
Q8BH59	36.3	0.0	0.0	15.0	7.3	0.0	1.0	0.0
Q9JHU4	36.3	0.0	0.3	51.5	29.6	0.0	1.7	15.3
Q3U995	36.0	0.0	0.0	10.2	17.5	0.0	17.5	0.3
Q9CR62	35.2	0.0	0.0	33.3	3.3	0.0	2.0	0.0
P05063	35.0	0.7	1.7	50.2	56.3	0.3	16.0	32.3
P70168	34.3	0.0	0.0	17.7	16.7	0.0	12.3	23.7
P10107	34.3	10.6	6.3	3.6	15.8	0.0	45.5	28.1
Q9D6R2	34.0	0.0	0.0	9.3	5.7	0.0	8.7	0.0
P05202	33.7	0.0	0.3	14.7	18.3	0.0	0.7	0.0
Q02053	33.0	0.0	2.0	90.3	29.0	0.0	2.7	18.0
P62827	32.9	25.6	18.3	19.7	10.3	0.0	16.7	23.3
P05064	32.4	2.6	1.7	59.9	44.3	0.7	7.9	19.1
P51180	32.3	0.0	0.7	12.7	9.0	0.0	30.3	6.7
